measure,estimate,lower,upper,pooling_scale_se,target_n,estimate_per1000,lower_per1000,upper_per1000
risk0,0.0887057165962926,0.0879268833561036,0.089490771650239,0.000398955222467767,1980559,88.7057165962926,87.9268833561036,89.490771650239
risk1,0.0837650364127008,0.0833132531426915,0.0842190444912186,0.000231072744073326,1980559,83.7650364127008,83.3132531426915,84.2190444912186
rd,-0.00494068018359177,-0.00586731611162456,-0.00401404425555898,0.000472782120152193,1980559,-4.94068018359177,-5.86731611162456,-4.01404425555898
rr,0.944302572898687,0.934335079561714,0.954376399526142,0.00541413289220497,1980559,,,
