measure,estimate,lower,upper,pooling_scale_se,target_n,estimate_per1000,lower_per1000,upper_per1000
risk0,0.0884633394054407,0.0876866472245388,0.0892462382129651,0.000397858954048881,1980559,88.4633394054407,87.6866472245388,89.2462382129651
risk1,0.0838507867970231,0.0833984604775266,0.0843053407462868,0.000231350534263081,1980559,83.8507867970231,83.3984604775266,84.3053407462868
rd,-0.00461255260841761,-0.00553736623185218,-0.00368773898498305,0.000471852355823564,1980559,-4.61255260841761,-5.53736623185218,-3.68773898498305
rr,0.94785916245737,0.937856393441518,0.95796861666371,0.0054129003820838,1980559,,,
