age,target_n,risk0,risk1,rd,rr,se_risk0,se_risk1,se_rd,se_log_rr,risk0_lower,risk0_upper,risk1_lower,risk1_upper,rd_lower,rd_upper,rr_lower,rr_upper,risk0_per1000,risk1_per1000,rd_per1000,risk0_lower_per1000,risk0_upper_per1000,risk1_lower_per1000,risk1_upper_per1000,rd_lower_per1000,rd_upper_per1000,rd_bonferroni_lower_per1000,rd_bonferroni_upper_per1000
15,40161,0.0803944498312647,0.0664990900239562,-0.0138953598073085,0.827160210232514,0.000506540006868039,0.00211981614309132,0.00217913070446615,0.0324894979344273,0.0794072272587009,0.0813928608039835,0.0624629377358115,0.0707763568805603,-0.0181663775056675,-0.00962434210894943,0.776130095537395,0.88154552609915,80.3944498312647,66.4990900239562,-13.8953598073085,79.4072272587009,81.3928608039835,62.4629377358115,70.7763568805603,-18.1663775056675,-9.62434210894943,-20.7673861158234,-7.02333349879354
16,98382,0.079727768295267,0.06604153766811,-0.013686230627157,0.828337969069059,0.00039487189195268,0.00165100333563728,0.0016970299216538,0.0254785501945334,0.078957256520711,0.080505141961705,0.0628783708363137,0.0693520549180428,-0.0170123481542853,-0.0103601131000287,0.78798905924057,0.870752941243535,79.727768295267,66.04153766811,-13.686230627157,78.957256520711,80.505141961705,62.8783708363137,69.3520549180428,-17.0123481542853,-10.3601131000287,-19.0379216680113,-8.33453958630273
17,195994,0.0810938166402094,0.0673348148908354,-0.013759001749374,0.830332295119135,0.000298719097358716,0.00124675715737729,0.00128175758995755,0.0188750912198828,0.0805102616309332,0.0816812256364988,0.0649319711058756,0.0698199378509251,-0.0162712004626016,-0.0112468030361463,0.800175818974289,0.86162528780436,81.0938166402094,67.3348148908355,-13.759001749374,80.5102616309332,81.6812256364988,64.9319711058756,69.8199378509251,-16.2712004626016,-11.2468030361463,-17.8011052639885,-9.71689823475949
18,369890,0.0833486618636527,0.0694428014684171,-0.0139058603952356,0.833160364134174,0.000216378522362261,0.000896874231304788,0.000922518605385838,0.0131725590859714,0.082925547405114,0.08377373798584,0.0677054160955201,0.071221363948375,-0.01571396363686,-0.0120977571536113,0.811925344945176,0.854950762019951,83.3486618636527,69.4428014684171,-13.9058603952356,82.925547405114,83.77373798584,67.7054160955201,71.221363948375,-15.71396363686,-12.0977571536113,-16.8150810827846,-10.9966397076867
19,635199,0.0858802242231015,0.0718802240266384,-0.0140000001964631,0.836982258452265,0.000160525519048018,0.000629942337446058,0.000649316968512941,0.00895200288149052,0.0855661217142487,0.0861953710771501,0.0706553000153152,0.0731247131385864,-0.0152726380692992,-0.012727362323627,0.822424981383405,0.851797205607098,85.8802242231015,71.8802240266384,-14.0000001964631,85.5661217142487,86.1953710771501,70.6553000153152,73.1247131385864,-15.2726380692992,-12.727362323627,-16.047662266958,-11.9523381259682
20,834055,0.0855723969876636,0.072010469967954,-0.0135619270197096,0.841515167307225,0.000132155206327848,0.00047997108264852,0.000497445219942445,0.00683730061897586,0.0853137326207542,0.0858317720121739,0.0710753932190574,0.0729568825166486,-0.0145369017350784,-0.0125869523043408,0.830313362430933,0.85286809637128,85.5723969876636,72.010469967954,-13.5619270197096,85.3137326207542,85.8317720121739,71.0753932190574,72.9568825166486,-14.5369017350784,-12.5869523043408,-15.1306519390011,-11.993202100418
21,972880,0.0842876985969558,0.0714299923557796,-0.0128577062411762,0.847454534229737,0.000126188166219584,0.000448429064655162,0.000466073307361103,0.00645665561725843,0.0840407035689519,0.0845353525455746,0.0705560633298507,0.0723139039318493,-0.0137711931377594,-0.0119442193445929,0.8367977281814,0.858247057084331,84.2876985969558,71.4299923557796,-12.8577062411762,84.040703568952,84.5353525455746,70.5560633298507,72.3139039318493,-13.7711931377594,-11.9442193445929,-14.32749785272,-11.3879146296323
22,1121260,0.0832404053184715,0.0711948621173258,-0.0120455432011457,0.855292112585704,0.000121487462014598,0.000439666732996778,0.00045665086913178,0.00635182346415238,0.0830026036974787,0.0834788262166531,0.0703379318313211,0.0720614231814502,-0.0129405624581529,-0.0111505239441385,0.844710290852417,0.866006494502534,83.2404053184715,71.1948621173258,-12.0455432011457,83.0026036974787,83.4788262166531,70.3379318313211,72.0614231814502,-12.9405624581529,-11.1505239441385,-13.4856205586205,-10.6054658436709
23,1242664,0.0825029741050041,0.0713964540576249,-0.0111065200473791,0.865380367582343,0.000109912926122899,0.000406674620567695,0.000421836894192508,0.00585670747861571,0.082287804530094,0.0827186556008143,0.0706034820313655,0.0721976403764401,-0.0119333051673467,-0.0102797349274116,0.855503518275919,0.875371245820429,82.5029741050041,71.3964540576249,-11.1065200473791,82.2878045300941,82.7186556008143,70.6034820313655,72.1976403764401,-11.9333051673467,-10.2797349274116,-12.4368093360629,-9.77623075869541
24,1360984,0.0820374256188207,0.0720232677394919,-0.0100141578793287,0.877931836551544,9.50998372420316e-05,0.000359682139818703,0.000372669749640815,0.00513445991870988,0.0818512260803784,0.082224010800876,0.0713214781981531,0.0727314219373492,-0.0107445771667523,-0.00928373859190516,0.86914120131399,0.886811381701277,82.0374256188207,72.023267739492,-10.0141578793287,81.8512260803784,82.224010800876,71.3214781981531,72.7314219373492,-10.7445771667523,-9.28373859190516,-11.189395472315,-8.83892028634241
