measure,estimate,lower,upper,pooling_scale_se,target_n,estimate_per1000,lower_per1000,upper_per1000
risk0,0.0904250112299778,0.0896302124136726,0.0912261516956023,0.000407131613990148,1980559,90.4250112299778,89.6302124136726,91.2261516956023
risk1,0.0831694959206399,0.0827182553958292,0.0836229736227221,0.000230798972650743,1980559,83.1694959206399,82.7182553958292,83.6229736227221
rd,-0.00725551530933785,-0.00819193492239437,-0.00631909569628133,0.000477773887909612,1980559,-7.25551530933785,-8.19193492239437,-6.31909569628133
rr,0.919762074556066,0.910071927687657,0.929555398924488,0.00540386673675469,1980559,,,
