age,target_n,risk0,risk1,rd,rr,se_risk0,se_risk1,se_rd,se_log_rr,risk0_lower,risk0_upper,risk1_lower,risk1_upper,rd_lower,rd_upper,rr_lower,rr_upper,risk0_per1000,risk1_per1000,rd_per1000,risk0_lower_per1000,risk0_upper_per1000,risk1_lower_per1000,risk1_upper_per1000,rd_lower_per1000,rd_upper_per1000,rd_bonferroni_lower_per1000,rd_bonferroni_upper_per1000
15,40557,0.0803059497189621,0.0689544473531173,-0.0113515023658448,0.858646807545762,0.000505918949054538,0.00180110664921957,0.00187033133309696,0.0268631814499971,0.0793199374928924,0.0813031365074249,0.0655069235686712,0.0725693189738496,-0.0150172844178717,-0.007685720313818,0.814607825951938,0.905066605819753,80.3059497189621,68.9544473531173,-11.3515023658448,79.3199374928924,81.3031365074249,65.5069235686712,72.5693189738497,-15.0172844178717,-7.685720313818,-17.24971035325,-5.45329437843964
16,99756,0.0796683148113168,0.0688053025055627,-0.0108630123057541,0.863647017870509,0.000394490374710918,0.00140793963509777,0.00146146142864857,0.0210443816632347,0.0788985469970693,0.0804449369018711,0.0660965160267236,0.0716165882534214,-0.0137274240706998,-0.00799860054080847,0.828749477522089,0.900014047317144,79.6683148113168,68.8053025055627,-10.8630123057541,78.8985469970693,80.4449369018711,66.0965160267236,71.6165882534214,-13.7274240706998,-7.99860054080847,-15.4718232256174,-6.25420138589089
17,199402,0.08104331022766,0.0704407037040953,-0.0106026065235647,0.869173575292264,0.000298461295543883,0.00106600431660637,0.00110658289068126,0.0155698469641396,0.0804602585044309,0.0816302119388279,0.0683797965010287,0.0725588871253982,-0.0127714691352082,-0.00843374391192118,0.843050201673815,0.89610642697958,81.04331022766,70.4407037040953,-10.6026065235647,80.4602585044309,81.6302119388279,68.3797965010287,72.5588871253982,-12.7714691352082,-8.43374391192118,-14.0922855601313,-7.11292748699807
18,378795,0.0833673370403195,0.0729531370398863,-0.0104142000004332,0.875080572678044,0.000216367619873057,0.000768673356799002,0.000798560530030438,0.0108516632957276,0.0829442436086224,0.0837923914506524,0.0714608231133714,0.0744741153820875,-0.0119793498787681,-0.00884905012209833,0.856665130429739,0.89389188549602,83.3673370403195,72.9531370398863,-10.4142000004332,82.9442436086224,83.7923914506524,71.4608231133714,74.4741153820875,-11.9793498787681,-8.84905012209833,-12.9325110682657,-7.89588893260067
19,653855,0.0859267660813483,0.0757298868988595,-0.0101968791824888,0.881330583617738,0.000160533640067061,0.00054097720924433,0.000563673044013937,0.00737648623982473,0.0856126473940413,0.0862419285896239,0.0746763819954361,0.0767970207293259,-0.0113016580478122,-0.0090921003171654,0.868680283965824,0.894165105341036,85.9267660813483,75.7298868988595,-10.1968791824888,85.6126473940413,86.2419285896239,74.6763819954361,76.7970207293259,-11.3016580478122,-9.0921003171654,-11.974457727881,-8.41930063709655
20,858662,0.0856283280183659,0.0760034462855403,-0.00962488173282559,0.887596990907481,0.000132198698909769,0.000413743582070592,0.000434154377499096,0.00565612552848364,0.0853695783831899,0.0858877882620358,0.0751964835911446,0.0768183494857267,-0.0104758086764542,-0.00877395478919696,0.877811605756596,0.897491458419459,85.6283280183659,76.0034462855403,-9.62488173282559,85.3695783831899,85.8877882620358,75.1964835911446,76.8183494857266,-10.4758086764542,-8.77395478919696,-10.9940149830781,-8.25574848257311
21,1000721,0.0843658139544737,0.075447657752547,-0.00891815620192674,0.894291825279618,0.000126279359742613,0.000387803881442921,0.000408248683735017,0.0053583639072378,0.0841186403275477,0.0846136467761023,0.0746910835789609,0.0762112643519097,-0.00971830891878325,-0.00811800348507022,0.884948939728093,0.903733348737253,84.3658139544737,75.447657752547,-8.91815620192674,84.1186403275477,84.6136467761023,74.6910835789609,76.2112643519097,-9.71830891878325,-8.11800348507022,-10.2055942107133,-7.63071819314014
22,1152710,0.0833316004555613,0.075141081205735,-0.00819051924982632,0.901711725143283,0.00012159727926409,0.000379979201245115,0.000399599061248842,0.00527092040673717,0.0830935837803277,0.0835702367751589,0.0743997181934621,0.0758892259141892,-0.00897371901813007,-0.00740731948152258,0.892444261527707,0.911075425449002,83.3316004555613,75.1410812057349,-8.19051924982632,83.0935837803277,83.5702367751589,74.3997181934621,75.8892259141892,-8.97371901813007,-7.40731948152258,-9.45068012780021,-6.93035837185243
23,1275619,0.0825806282049,0.0751722065712264,-0.00740842163367353,0.910288625859183,0.000109997739616735,0.000350645295501585,0.000368167004481853,0.00485923331239493,0.0823652925267618,0.0827964760602333,0.0744878341039274,0.0758623514535334,-0.00813001570275396,-0.0066868275645931,0.901660260888127,0.918999559271261,82.5806282049,75.1722065712264,-7.40842163367353,82.3652925267618,82.7964760602333,74.4878341039274,75.8623514535334,-8.13001570275396,-6.6868275645931,-8.56945953541162,-6.24738373193543
24,1394616,0.0821137269910469,0.0755800244616597,-0.00653370252938716,0.920431056185045,9.51743857257782e-05,0.000310107689147208,0.000325109794801219,0.0042725040816796,0.0819273814440478,0.0823004583892234,0.0749744642017566,0.0761900729107607,-0.00717090601821876,-0.00589649904055557,0.912755590596942,0.92817106563637,82.1137269910469,75.5800244616597,-6.53370252938716,81.9273814440478,82.3004583892234,74.9744642017566,76.1900729107607,-7.17090601821876,-5.89649904055557,-7.55895680094184,-5.50844825783248
