measure,estimate,lower,upper,pooling_scale_se,target_n,estimate_per1000,lower_per1000,upper_per1000
risk0,0.0978291761997046,0.0968270731896145,0.0988405153940311,0.000513637413996547,1330062,97.8291761997046,96.8270731896145,98.8405153940311
risk1,0.0931120795461896,0.0925364658767582,0.0936909040890436,0.000294503824061798,1330062,93.1120795461896,92.5364658767582,93.6909040890436
rd,-0.00471709665351494,-0.0059060699390904,-0.00352812336793948,0.000606630170224519,1330062,-4.71709665351494,-5.9060699390904,-3.52812336793948
rr,0.951782312427065,0.940132179356618,0.963576814133688,0.00628371929727834,1330062,,,
