measure,estimate,lower,upper,pooling_scale_se,target_n,estimate_per1000,lower_per1000,upper_per1000
risk0,0.0905070877872605,0.0897183229768571,0.0913020915430244,0.000404026863631922,1980559,90.5070877872605,89.7183229768571,91.3020915430244
risk1,0.0833907474814459,0.082945703497994,0.0838379610400551,0.000227620202861669,1980559,83.3907474814459,82.9457034979941,83.8379610400551
rd,-0.00711634030581468,-0.00804380305822522,-0.00618887755340414,0.000473203977076235,1980559,-7.11634030581468,-8.04380305822522,-6.18887755340414
rr,0.921372563411367,0.911773186531319,0.93107300493978,0.00534357514233178,1980559,,,
