year,oe_threshold,stage,n_entering,n_retained,n_excluded
2023,20,source_records,3605081,3605081,0
2023,20,us_residents,3605081,3596017,9064
2023,20,singleton,3596017,3482971,113046
2023,20,maternal_age_15_45,3482971,3475645,7326
2023,20,known_oe_at_least_threshold,3475645,3472108,3537
2023,20,known_no_prepregnancy_hypertension,3472108,3360217,111891
2023,20,known_early_pattern,3360217,3347964,12253
2023,20,known_recorded_gh_pe,3347964,3347964,0
2023,28,source_records,3605081,3605081,0
2023,28,us_residents,3605081,3596017,9064
2023,28,singleton,3596017,3482971,113046
2023,28,maternal_age_15_45,3482971,3475645,7326
2023,28,known_oe_at_least_threshold,3475645,3454676,20969
2023,28,known_no_prepregnancy_hypertension,3454676,3344325,110351
2023,28,known_early_pattern,3344325,3332226,12099
2023,28,known_recorded_gh_pe,3332226,3332226,0
2024,20,source_records,3638436,3638436,0
2024,20,us_residents,3638436,3628934,9502
2024,20,singleton,3628934,3517151,111783
2024,20,maternal_age_15_45,3517151,3509642,7509
2024,20,known_oe_at_least_threshold,3509642,3504271,5371
2024,20,known_no_prepregnancy_hypertension,3504271,3384398,119873
2024,20,known_early_pattern,3384398,3369881,14517
2024,20,known_recorded_gh_pe,3369881,3369881,0
2024,28,source_records,3638436,3638436,0
2024,28,us_residents,3638436,3628934,9502
2024,28,singleton,3628934,3517151,111783
2024,28,maternal_age_15_45,3517151,3509642,7509
2024,28,known_oe_at_least_threshold,3509642,3486990,22652
2024,28,known_no_prepregnancy_hypertension,3486990,3368713,118277
2024,28,known_early_pattern,3368713,3354348,14365
2024,28,known_recorded_gh_pe,3354348,3354348,0
