reason,n,field,contrast,year
observed_edited,97493,prior_cesarean,primary,2024
item_unknown,294,nativity,primary,2024
observed_edited,97199,nativity,primary,2024
observed_edited,97051,prepreg_dose5,primary,2024
observed_topcoded_98_or_more,442,prepreg_dose5,primary,2024
item_unknown,31547,race_ethnicity,broad,2016
observed_edited,3587581,race_ethnicity,broad,2016
observed_edited,3619128,prepreg_diabetes,broad,2016
item_unknown,5811,prior_living4,broad,2016
observed_edited,3613317,prior_living4,broad,2016
item_unknown,45078,education4,broad,2016
observed_edited,3574050,education4,broad,2016
item_unknown,96065,bmi,broad,2016
observed_edited,3523063,bmi,broad,2016
observed_edited,3619128,prior_preterm,broad,2016
observed_edited,3619128,prior_cesarean,broad,2016
item_unknown,6721,nativity,broad,2016
observed_edited,3612407,nativity,broad,2016
item_unknown,27811,race_ethnicity,broad,2017
observed_edited,3509657,race_ethnicity,broad,2017
observed_edited,3537468,prepreg_diabetes,broad,2017
item_unknown,4204,prior_living4,broad,2017
observed_edited,3533264,prior_living4,broad,2017
item_unknown,42825,education4,broad,2017
observed_edited,3494643,education4,broad,2017
item_unknown,84720,bmi,broad,2017
observed_edited,3452748,bmi,broad,2017
observed_edited,3537468,prior_preterm,broad,2017
observed_edited,3537468,prior_cesarean,broad,2017
item_unknown,6098,nativity,broad,2017
observed_edited,3531370,nativity,broad,2017
item_unknown,28976,race_ethnicity,broad,2018
observed_edited,3454811,race_ethnicity,broad,2018
observed_edited,3483787,prepreg_diabetes,broad,2018
item_unknown,5586,prior_living4,broad,2018
observed_edited,3478201,prior_living4,broad,2018
item_unknown,42422,education4,broad,2018
observed_edited,3441365,education4,broad,2018
item_unknown,74888,bmi,broad,2018
observed_edited,3408899,bmi,broad,2018
observed_edited,3483787,prior_preterm,broad,2018
observed_edited,3483787,prior_cesarean,broad,2018
item_unknown,6030,nativity,broad,2018
observed_edited,3477757,nativity,broad,2018
item_unknown,30678,race_ethnicity,broad,2019
observed_edited,3414790,race_ethnicity,broad,2019
