contrast,A,variable,level,kind,n,sum,sum_sq,denominator,mean,sd,pct,display
prepregnancy,0,race_ethnicity,Non-Hispanic Asian,categorical,1888653,0,0,28113111,,,6.7180505209829,"1,888,653 (6.7%)"
prepregnancy,0,race_ethnicity,Non-Hispanic NHOPI,categorical,71492,0,0,28113111,,,0.254301276013174,"71,492 (0.3%)"
prepregnancy,0,race_ethnicity,Non-Hispanic multiple race,categorical,618733,0,0,28113111,,,2.20086990728276,"618,733 (2.2%)"
prepregnancy,0,race_ethnicity,Hispanic,categorical,7335147,0,0,28113111,,,26.0915520875651,"7,335,147 (26.1%)"
prepregnancy,0,prepreg_diabetes,No,categorical,27866277,0,0,28113111,,,99.1219968505087,"27,866,277 (99.1%)"
prepregnancy,0,prepreg_diabetes,Yes,categorical,246834,0,0,28113111,,,0.878003149491353,"246,834 (0.9%)"
prepregnancy,0,prior_living4,0,categorical,11248972,0,0,28113111,,,40.0132592938576,"11,248,972 (40.0%)"
prepregnancy,0,prior_living4,1,categorical,9021542,0,0,28113111,,,32.0901589297606,"9,021,542 (32.1%)"
prepregnancy,0,prior_living4,2,categorical,4602747,0,0,28113111,,,16.3722435414565,"4,602,747 (16.4%)"
prepregnancy,0,prior_living4,3 or more,categorical,3239850,0,0,28113111,,,11.5243382349253,"3,239,850 (11.5%)"
prepregnancy,0,bmi,"",continuous,28113111,765489789.997539,22075747664.6823,28113111,27.2289249666299,6.62065397290734,,27.2 (6.6)
prepregnancy,0,education4,Less than high school,categorical,3184011,0,0,28113111,,,11.3257156065012,"3,184,011 (11.3%)"
prepregnancy,0,education4,High school or GED,categorical,7043839,0,0,28113111,,,25.0553522874078,"7,043,839 (25.1%)"
prepregnancy,0,education4,Some college or associate,categorical,7624923,0,0,28113111,,,27.1223024730347,"7,624,923 (27.1%)"
prepregnancy,0,education4,Bachelor or higher,categorical,10260338,0,0,28113111,,,36.4966296330563,"10,260,338 (36.5%)"
prepregnancy,0,prior_preterm,No,categorical,27206005,0,0,28113111,,,96.7733702612991,"27,206,005 (96.8%)"
prepregnancy,0,prior_preterm,Yes,categorical,907106,0,0,28113111,,,3.22662973870092,"907,106 (3.2%)"
prepregnancy,0,prior_cesarean,No,categorical,23894547,0,0,28113111,,,84.9943181314939,"23,894,547 (85.0%)"
prepregnancy,0,prior_cesarean,Yes,categorical,4218564,0,0,28113111,,,15.0056818685061,"4,218,564 (15.0%)"
prepregnancy,0,nativity,Born in 50 US states,categorical,21352092,0,0,28113111,,,75.9506551942971,"21,352,092 (76.0%)"
prepregnancy,0,nativity,Born elsewhere including territories,categorical,6761019,0,0,28113111,,,24.0493448057029,"6,761,019 (24.0%)"
