"age","slope","kind","boundary","regular_delta","se_delta","delta_lower","delta_upper","status","model_id","covariance"
29.3807759714468,0.0349898920526703,"crossing",FALSE,TRUE,0.152350064122873,29.0821753327236,29.67937661017,"regular_local_implicit_delta_secondary","broad_main","HC0"
29.3807759714468,0.0349898920526703,"crossing",FALSE,TRUE,0.151544257931736,29.0837546838368,29.6777972590569,"regular_local_implicit_delta_secondary","broad_main","model"
31.8096669492778,0.0222185770450408,"crossing",FALSE,TRUE,0.444774818452803,30.93792432388,32.6814095746757,"regular_local_implicit_delta_secondary","primary_main","HC0"
31.8096669492778,0.0222185770450408,"crossing",FALSE,TRUE,0.441968500433861,30.9434246061263,32.6759092924294,"regular_local_implicit_delta_secondary","primary_main","model"
32.9667305923976,0.0232021370611163,"crossing",FALSE,TRUE,0.471147946167844,32.0432975865187,33.8901635982766,"regular_local_implicit_delta_secondary","primary_core_same_cc","HC0"
32.9667305923976,0.0232021370611163,"crossing",FALSE,TRUE,0.468159217603624,32.0491553868641,33.8843057979312,"regular_local_implicit_delta_secondary","primary_core_same_cc","model"
31.549487068643,0.0231361018713234,"crossing",FALSE,TRUE,0.417610524934206,30.7309854802071,32.3679886570789,"regular_local_implicit_delta_secondary","primary_augmented_same_cc","HC0"
31.549487068643,0.0231361018713234,"crossing",FALSE,TRUE,0.41524397199861,30.7356238387283,32.3633502985576,"regular_local_implicit_delta_secondary","primary_augmented_same_cc","model"
32.7468324175479,0.0246631691935591,"crossing",FALSE,TRUE,0.427809837206159,31.9083405443918,33.5853242907039,"regular_local_implicit_delta_secondary","primary_core_available","HC0"
32.7468324175479,0.0246631691935591,"crossing",FALSE,TRUE,0.425006169924468,31.9138356312886,33.5798292038071,"regular_local_implicit_delta_secondary","primary_core_available","model"
31.6822828314025,0.0243967155126138,"crossing",FALSE,TRUE,0.461011062091121,30.7787177532294,32.5858479095757,"regular_local_implicit_delta_secondary","primary_recent","HC0"
31.6822828314025,0.0243967155126138,"crossing",FALSE,TRUE,0.458656723438399,30.7833321721961,32.5812334906089,"regular_local_implicit_delta_secondary","primary_recent","model"
35.1997492182362,0.0100244318577935,"crossing",FALSE,TRUE,2.84292065503817,29.6277271234564,40.771771313016,"regular_local_implicit_delta_secondary","primary_historical","HC0"
42.4648881386356,-0.00621849742403187,"crossing",FALSE,TRUE,15.0247572582925,13.0169050359256,71.9128712413457,"regular_local_implicit_delta_secondary","primary_historical","HC0"
35.1997492182362,0.0100244318577935,"crossing",FALSE,TRUE,2.82184719417451,29.6690303477788,40.7304680886936,"regular_local_implicit_delta_secondary","primary_historical","model"
42.4648881386356,-0.00621849742403187,"crossing",FALSE,TRUE,14.8061627065522,13.4453424845533,71.4844337927179,"regular_local_implicit_delta_secondary","primary_historical","model"
31.8296899753024,0.0214898050931757,"crossing",FALSE,TRUE,0.46207885769921,30.9240320561945,32.7353478944103,"regular_local_implicit_delta_secondary","primary_oe28","HC0"
31.8296899753024,0.0214898050931757,"crossing",FALSE,TRUE,0.459237678487182,30.9296006651237,32.7297792854811,"regular_local_implicit_delta_secondary","primary_oe28","model"
32.8061550415283,0.0262108081423452,"crossing",FALSE,TRUE,0.465241179345631,31.8942990858859,33.7180109971707,"regular_local_implicit_delta_secondary","all_years_shared_core_live","HC0"
32.8061550415283,0.0262108081423452,"crossing",FALSE,TRUE,0.462260669112936,31.9001407785976,33.712169304459,"regular_local_implicit_delta_secondary","all_years_shared_core_live","model"
32.7636781396182,0.0263786220157172,"crossing",FALSE,TRUE,0.458493533408005,31.865047326994,33.6623089522424,"regular_local_implicit_delta_secondary","all_years_shared_core_inclusive","HC0"
32.7636781396182,0.0263786220157172,"crossing",FALSE,TRUE,0.45560608168398,31.8707066283802,33.6566496508563,"regular_local_implicit_delta_secondary","all_years_shared_core_inclusive","model"
31.4261124577076,0.0253559542812159,"crossing",FALSE,TRUE,0.434963058856293,30.5736005277439,32.2786243876713,"regular_local_implicit_delta_secondary","all_years_shared_augmented_live","HC0"
31.4261124577076,0.0253559542812159,"crossing",FALSE,TRUE,0.43303875373146,30.5773720964839,32.2748528189314,"regular_local_implicit_delta_secondary","all_years_shared_augmented_live","model"
31.3853711123877,0.0253714827292992,"crossing",FALSE,TRUE,0.432439621699086,30.5378050283693,32.232937196406,"regular_local_implicit_delta_secondary","all_years_shared_augmented_inclusive","HC0"
31.3853711123877,0.0253714827292992,"crossing",FALSE,TRUE,0.430576081418543,30.5414575002029,32.2292847245724,"regular_local_implicit_delta_secondary","all_years_shared_augmented_inclusive","model"
32.2847656366377,0.0191402506841748,"crossing",FALSE,TRUE,0.78958847714052,30.7372006588344,33.8323306144409,"regular_local_implicit_delta_secondary","reporting_years_shared_core_live","HC0"
42.3300186725281,-0.0139423479417523,"crossing",FALSE,TRUE,4.03399347554145,34.4235367465973,50.2365005984589,"regular_local_implicit_delta_secondary","reporting_years_shared_core_live","HC0"
32.2847656366377,0.0191402506841748,"crossing",FALSE,TRUE,0.785227845736065,30.745747339337,33.8237839339383,"regular_local_implicit_delta_secondary","reporting_years_shared_core_live","model"
42.3300186725281,-0.0139423479417523,"crossing",FALSE,TRUE,3.99350441168217,34.5028938535292,50.157143491527,"regular_local_implicit_delta_secondary","reporting_years_shared_core_live","model"
32.1924852148237,0.0196308856827795,"crossing",FALSE,TRUE,0.760063844970207,30.702787452731,33.6821829769163,"regular_local_implicit_delta_secondary","reporting_years_shared_core_inclusive","HC0"
42.3776949382395,-0.0144012856898099,"crossing",FALSE,TRUE,3.92503964572627,34.6847585947241,50.0706312817548,"regular_local_implicit_delta_secondary","reporting_years_shared_core_inclusive","HC0"
32.1924852148237,0.0196308856827795,"crossing",FALSE,TRUE,0.755981694191476,30.7107883212368,33.6741821084105,"regular_local_implicit_delta_secondary","reporting_years_shared_core_inclusive","model"
42.3776949382395,-0.0144012856898099,"crossing",FALSE,TRUE,3.88655086487656,34.7601952189984,49.9951946574805,"regular_local_implicit_delta_secondary","reporting_years_shared_core_inclusive","model"
30.2535558742645,0.0207876345006752,"crossing",FALSE,TRUE,0.68675399643078,28.9075427750212,31.5995689735077,"regular_local_implicit_delta_secondary","reporting_years_shared_augmented_live","HC0"
30.2535558742645,0.0207876345006752,"crossing",FALSE,TRUE,0.686238230807839,28.9085536570666,31.5985580914623,"regular_local_implicit_delta_secondary","reporting_years_shared_augmented_live","model"
30.1874179212408,0.020955812089594,"crossing",FALSE,TRUE,0.681053164127002,28.8525782479948,31.5222575944868,"regular_local_implicit_delta_secondary","reporting_years_shared_augmented_inclusive","HC0"
30.1874179212408,0.020955812089594,"crossing",FALSE,TRUE,0.68063459953977,28.853398619511,31.5214372229706,"regular_local_implicit_delta_secondary","reporting_years_shared_augmented_inclusive","model"
31.7535539168014,0.0195267839813239,"crossing",FALSE,TRUE,0.521363913582905,30.73169942334,32.7754084102627,"regular_local_implicit_delta_secondary","age_spec_fewer_age_knots","HC0"
31.7535539168014,0.0195267839813239,"crossing",FALSE,TRUE,0.518668568911787,30.7369822018214,32.7701256317814,"regular_local_implicit_delta_secondary","age_spec_fewer_age_knots","model"
31.8576025767844,0.0224973686533947,"crossing",FALSE,TRUE,0.442676810399603,30.9899719716102,32.7252331819587,"regular_local_implicit_delta_secondary","age_spec_shifted_age_knots","HC0"
31.8576025767844,0.0224973686533947,"crossing",FALSE,TRUE,0.440650049092474,30.9939443507774,32.7212608027915,"regular_local_implicit_delta_secondary","age_spec_shifted_age_knots","model"
31.9685628937054,0.0232394244917931,"crossing",FALSE,TRUE,0.477972605017905,31.0317538022735,32.9053719851372,"regular_local_implicit_delta_secondary","age_spec_more_age_knots","HC0"
31.9685628937054,0.0232394244917931,"crossing",FALSE,TRUE,0.476574714573448,31.0344936171989,32.9026321702118,"regular_local_implicit_delta_secondary","age_spec_more_age_knots","model"
31.8180157176309,0.0216699842702535,"crossing",FALSE,TRUE,0.455692405777668,30.9248750142783,32.7111564209836,"regular_local_implicit_delta_secondary","age_spec_age_by_bmi_nuisance","HC0"
31.8180157176309,0.0216699842702535,"crossing",FALSE,TRUE,0.453386378879838,30.9293947439454,32.7066366913164,"regular_local_implicit_delta_secondary","age_spec_age_by_bmi_nuisance","model"
28.5709216147274,0.0274803947684283,"crossing",FALSE,TRUE,0.174272995950157,28.2293528191872,28.9124904102676,"regular_local_implicit_delta_secondary","prepregnancy_main","HC0"
28.5709216147274,0.0274803947684283,"crossing",FALSE,TRUE,0.173496276724945,28.2308751608947,28.91096806856,"regular_local_implicit_delta_secondary","prepregnancy_main","model"
