"model_id","label","contrast_group","family","covariance","fit_n","reference_n","fitted_null_ages","n_isolated_roots","has_zero_intervals","unique_regular_interior_root","full_95_fixed_null_age_set","fixed_null_age_set_components","full_95_simultaneous_outer_set","simultaneous_outer_set_components","simultaneous_strict_negative_intervals","simultaneous_strict_positive_intervals","simultaneous_reversal","omnibus_age_interaction_statistic","omnibus_df","omnibus_p","omnibus_log_p","age_knots","comparison","formula"
"primary_recent","Full adjustment,2018-2024","within_prepregnancy_smokers","original_16_models","HC0",1329552,1329552,"31.682283",1,FALSE,TRUE,"[30.825, 32.720] U [41.640, 44.000]",2,"[15.000, 16.764] U [30.218, 33.758] U [39.937, 44.000]",3,"(16.764, 30.218)","(33.758, 39.937)",TRUE,159.475615425167,4,1.89403091805878e-33,-75.3466007499602,"21,27,35","Changed population/model; descriptive stability only","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prior_preterm + prior_cesarean + nativity + prepreg_dose5"
"primary_recent","Full adjustment,2018-2024","within_prepregnancy_smokers","original_16_models","model",1329552,1329552,"31.682283",1,FALSE,TRUE,"[30.828, 32.712] U [41.696, 44.000]",2,"[15.000, 16.780] U [30.221, 33.740] U [39.997, 44.000]",3,"(16.780, 30.221)","(33.740, 39.997)",TRUE,160.653331666155,4,1.05877882437866e-33,-75.928191877275,"21,27,35","Changed population/model; descriptive stability only","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prior_preterm + prior_cesarean + nativity + prepreg_dose5"
"primary_historical","Full adjustment,2014-2015 historical sensitivity","within_prepregnancy_smokers","original_16_models","HC0",725610,725610,"35.199749; 42.464888",2,FALSE,FALSE,"[15.000, 15.750] U [32.279, 44.000]",2,"[15.000, 17.070] U [31.152, 44.000]",2,"(17.070, 31.152)","Empty set",FALSE,47.695928663962,4,1.09207257520248e-09,-20.635188501024,"21,27,35","Changed population/model; descriptive stability only","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prior_preterm + prior_cesarean + nativity + prepreg_dose5"
"primary_historical","Full adjustment,2014-2015 historical sensitivity","within_prepregnancy_smokers","original_16_models","model",725610,725610,"35.199749; 42.464888",2,FALSE,FALSE,"[15.000, 15.741] U [32.294, 44.000]",2,"[15.000, 17.063] U [31.170, 44.000]",2,"(17.063, 31.170)","Empty set",FALSE,48.1664011137646,4,8.71328345019814e-10,-20.8610022353488,"21,27,35","Changed population/model; descriptive stability only","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prior_preterm + prior_cesarean + nativity + prepreg_dose5"
"primary_oe28","Full adjustment,2016-2024 OE>=28 sensitivity","within_prepregnancy_smokers","original_16_models","HC0",1967262,1967262,"31.829690",1,FALSE,TRUE,"[15.000, 15.074] U [30.987, 32.881] U [43.004, 44.000]",3,"[15.000, 16.553] U [30.416, 33.916] U [40.660, 44.000]",3,"(16.553, 30.416)","(33.916, 40.660)",TRUE,219.940165640669,4,1.93110445986147e-46,-105.260822179491,"21,27,35","Changed population/model; descriptive stability only","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prior_preterm + prior_cesarean + nativity + prepreg_dose5"
"primary_oe28","Full adjustment,2016-2024 OE>=28 sensitivity","within_prepregnancy_smokers","original_16_models","model",1967262,1967262,"31.829690",1,FALSE,TRUE,"[15.000, 15.105] U [30.991, 32.873] U [43.081, 44.000]",3,"[15.000, 16.578] U [30.420, 33.898] U [40.728, 44.000]",3,"(16.578, 30.420)","(33.898, 40.728)",TRUE,221.682066291338,4,8.14614444598557e-47,-106.123954629514,"21,27,35","Changed population/model; descriptive stability only","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prior_preterm + prior_cesarean + nativity + prepreg_dose5"
"all_years_shared_core_live","all_years shared_core live","within_prepregnancy_smokers","original_16_models","HC0",1363503,1363503,"32.806155",1,FALSE,TRUE,"[31.997, 33.897] U [41.351, 44.000]",2,"[15.000, 16.716] U [31.503, 34.983] U [39.634, 44.000]",3,"(16.716, 31.503)","(34.983, 39.634)",TRUE,186.446172089691,4,3.07528570231616e-39,-88.677420818503,"21,27,35","Shared live reference within tier/period; root differences descriptive here; overlapping fits not independent","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + prepreg_dose5"
"all_years_shared_core_live","all_years shared_core live","within_prepregnancy_smokers","original_16_models","model",1363503,1363503,"32.806155",1,FALSE,TRUE,"[32.002, 33.889] U [41.388, 44.000]",2,"[15.000, 16.741] U [31.510, 34.968] U [39.676, 44.000]",3,"(16.741, 31.510)","(34.968, 39.676)",TRUE,187.654205634558,4,1.69176281751924e-39,-89.2750475541808,"21,27,35","Shared live reference within tier/period; root differences descriptive here; overlapping fits not independent","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + prepreg_dose5"
"all_years_shared_core_inclusive","all_years shared_core inclusive","within_prepregnancy_smokers","original_16_models","HC0",1373599,1363503,"32.763678",1,FALSE,TRUE,"[31.963, 33.834] U [41.382, 44.000]",2,"[15.000, 16.588] U [31.473, 34.896] U [39.683, 44.000]",3,"(16.588, 31.473)","(34.896, 39.683)",TRUE,186.550722857352,4,2.92027291221096e-39,-88.729141551769,"21,27,35","Shared live reference within tier/period; root differences descriptive here; overlapping fits not independent","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + prepreg_dose5"
"all_years_shared_core_inclusive","all_years shared_core inclusive","within_prepregnancy_smokers","original_16_models","model",1373599,1363503,"32.763678",1,FALSE,TRUE,"[31.968, 33.827] U [41.418, 44.000]",2,"[15.000, 16.616] U [31.479, 34.881] U [39.725, 44.000]",3,"(16.616, 31.479)","(34.881, 39.725)",TRUE,187.738073395248,4,1.62300490154011e-39,-89.3165393181905,"21,27,35","Shared live reference within tier/period; root differences descriptive here; overlapping fits not independent","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + prepreg_dose5"
"all_years_shared_augmented_live","all_years shared_augmented live","within_prepregnancy_smokers","original_16_models","HC0",1331577,1331577,"31.426112",1,FALSE,TRUE,"[30.597, 32.373] U [42.405, 44.000]",2,"[15.000, 16.766] U [29.991, 33.264] U [40.535, 44.000]",3,"(16.766, 29.991)","(33.264, 40.535)",TRUE,173.938328095205,4,1.4931465095256e-36,-82.4921777030816,"21,27,35","Shared live reference within tier/period; root differences descriptive here; overlapping fits not independent","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prepreg_dose5"
