"contrast","label","eligible_n","n","events","A0","A1","excluded_n","rr","rr_lower","rr_upper","rd_per1000","rd_lower_per1000","rd_upper_per1000","risk0_per1000","risk0_lower_per1000","risk0_upper_per1000","risk1_per1000","risk1_lower_per1000","risk1_upper_per1000"
"primary","Within prepregnancy smokers",2043626,1979858,168690,499839,1480019,63768,0.944237803216612,0.934268199651715,0.954313792715737,-4.94544639623881,-5.87214199241569,-4.01875080006193,88.6881558029306,87.9092687148193,89.4732669575478,83.7427094066918,83.2908942239286,84.1967503747009
"broad","Both early windows vs neither",30799000,29547867,2444091,28067848,1480019,1251133,1.01155481675219,1.0057051337836,1.01743852439629,0.95646393860653,0.471101222615474,1.44182665459759,82.7762100532694,82.6762073536831,82.8763227849163,83.7326739918759,83.2605202761413,84.2072592554524
"prepregnancy","Prepregnancy smoking, irrespective of T1",31331472,30068330,2494480,28084980,1983350,1263142,1.03036360961524,1.02525966968612,1.03549295793949,2.51784705889831,2.09434914640623,2.94134497139038,82.9231797801305,82.8229575385734,83.0235123203653,85.4410268390288,85.0324172940303,85.8514156552955
