age,target_n,risk0,risk1,rd,rr,se_risk0,se_risk1,se_rd,se_log_rr,risk0_lower,risk0_upper,risk1_lower,risk1_upper,rd_lower,rd_upper,rr_lower,rr_upper,risk0_per1000,risk1_per1000,rd_per1000,risk0_lower_per1000,risk0_upper_per1000,risk1_lower_per1000,risk1_upper_per1000,rd_lower_per1000,rd_upper_per1000,rd_bonferroni_lower_per1000,rd_bonferroni_upper_per1000,model_id
15,40526,0.0803490755751159,0.0664603795759759,-0.01388869599914,0.827145540882349,0.000506305352647124,0.00211875652164966,0.00217805501036223,0.0324923114012668,0.0793623112187219,0.0813470249380519,0.062426259734479,0.0707355248609518,-0.0181576053757969,-0.00961978662248297,0.776112051463997,0.881534753275624,80.3490755751159,66.4603795759759,-13.88869599914,79.3623112187219,81.3470249380519,62.426259734479,70.7355248609517,-18.1576053757969,-9.61978662248297,-20.7573300383583,-7.02006195992161,supp_3lvl_continued_vs_none
16,99677,0.0797240664743346,0.0660380046723877,-0.0136860618019469,0.828332115919441,0.000394873412757915,0.00165095654757538,0.00169700294030344,0.0254794450908317,0.0789535519201724,0.0805014433246979,0.0628749295902668,0.0693484303477453,-0.0170121264466002,-0.0103599971572936,0.78798210910801,0.870748315644218,79.7240664743346,66.0380046723877,-13.6860618019469,78.9535519201724,80.5014433246979,62.8749295902668,69.3484303477453,-17.0121264466002,-10.3599971572936,-19.0376677554087,-8.33445584848508,supp_3lvl_continued_vs_none
17,199221,0.0810888109335436,0.0673300961850717,-0.013758714748472,0.830325360674632,0.000298731221977402,0.00124669628684306,0.00128172852833304,0.018875890192792,0.0805052324474478,0.0816762439825095,0.0649273708020778,0.0698150989566083,-0.0162708565019622,-0.0112465729949817,0.800167883348468,0.861619441278189,81.0888109335436,67.3300961850717,-13.758714748472,80.5052324474478,81.6762439825095,64.9273708020778,69.8150989566083,-16.2708565019622,-11.2465729949817,-17.8007266154181,-9.71670288152585,supp_3lvl_continued_vs_none
18,378353,0.083384261839527,0.0694725377728333,-0.0139117240666937,0.833161273365149,0.000216475775437556,0.000897194103528455,0.000922919946391981,0.0131724826287334,0.0829609571851918,0.0838095289915411,0.0677345305634336,0.0712517322993879,-0.0157206139222356,-0.0121028342111518,0.811926352672238,0.85495156691343,83.384261839527,69.4725377728333,-13.9117240666937,82.9609571851918,83.8095289915411,67.7345305634336,71.2517322993879,-15.7206139222356,-12.1028342111518,-16.8222104084539,-11.0012377249336,supp_3lvl_continued_vs_none
19,653131,0.0859334502273963,0.0719247678423081,-0.0140086823850881,0.836982195547619,0.000160636665063462,0.000630233024268863,0.000649737803620891,0.00895199289328068,0.0856191302388822,0.0862488152865624,0.0706992765189259,0.073169829101716,-0.0152821450795792,-0.012735219690597,0.82242493567306,0.851797124913779,85.9334502273963,71.9247678423081,-14.0086823850881,85.6191302388822,86.2488152865624,70.6992765189259,73.169829101716,-15.2821450795792,-12.735219690597,-16.0576715856755,-11.9596931845008,supp_3lvl_continued_vs_none
20,857770,0.0856344885125114,0.0720631053796486,-0.0135713831328629,0.841519656757452,0.000132282444724752,0.000480197132952698,0.000497814037155738,0.00683708126950367,0.0853755751599418,0.0858941133172094,0.0711275864080256,0.0730099617921345,-0.0145470807166866,-0.0125956855490391,0.830318149087838,0.852872279724509,85.6344885125114,72.0631053796486,-13.5713831328629,85.3755751599419,85.8941133172094,71.1275864080256,73.0099617921345,-14.5470807166866,-12.5956855490391,-15.1412711405307,-12.001495125195,supp_3lvl_continued_vs_none
21,999703,0.0843786734223037,0.0715080125479848,-0.0128706608743188,0.847465474955941,0.000126353289036659,0.000448786194220767,0.000466565022186265,0.00645616359110533,0.0841313552264839,0.0846266514731642,0.0706333855746707,0.0723926260897481,-0.0137851115142501,-0.0119562102343876,0.836809338306788,0.858257309479255,84.3786734223037,71.5080125479848,-12.8706608743188,84.1313552264839,84.6266514731643,70.6333855746707,72.3926260897481,-13.7851115142501,-11.9562102343876,-14.3420031396202,-11.3993186090175,supp_3lvl_continued_vs_none
22,1151517,0.0833479274708509,0.0712881211710189,-0.012059806299832,0.855307664320151,0.000121667846109397,0.000440103980863905,0.000457213034115644,0.00635110987207063,0.0831097727791976,0.0835867023914965,0.0704303366045851,0.0721555419280607,-0.012955927379961,-0.0111636852197031,0.844726831624725,0.866021029825401,83.3479274708509,71.2881211710189,-12.059806299832,83.1097727791976,83.5867023914965,70.4303366045851,72.1555419280607,-12.955927379961,-11.1636852197031,-13.5016564800893,-10.6179561195748,supp_3lvl_continued_vs_none
23,1274332,0.0825988423324715,0.0714804367491073,-0.0111184055833642,0.865392718960744,0.00011006307136174,0.000407024253394792,0.000422306773206917,0.0058561457342512,0.0823833788479306,0.0828148184775219,0.0706867812563853,0.0722823101297976,-0.0119461116492771,-0.0102906995174513,0.855516670606526,0.875382776000528,82.5988423324715,71.4804367491073,-11.1184055833642,82.3833788479306,82.8148184775219,70.6867812563853,72.2823101297976,-11.9461116492771,-10.2906995174513,-12.450176665197,-9.78663450153136,supp_3lvl_continued_vs_none
24,1393370,0.0821335457123172,0.0721087530252627,-0.0100247926870545,0.877945209839503,9.52314718352071e-05,0.000359971763368412,0.000373082843977635,0.00513387218713826,0.0819470884583841,0.0823203891772426,0.0714063968417396,0.072817475876457,-0.0107560216245004,-0.00929356374960852,0.869155441904692,0.886823868686828,82.1335457123172,72.1087530252627,-10.0247926870545,81.9470884583841,82.3203891772426,71.4063968417396,72.817475876457,-10.7560216245004,-9.29356374960852,-11.2013329991226,-8.84825237498631,supp_3lvl_continued_vs_none
