lower,upper,lower_closed,upper_closed,kind,classification,model_id,covariance
15,16.5863584056597,TRUE,TRUE,interval,zero_compatible,primary_oe28,model
16.5863584056597,30.4403190439035,FALSE,FALSE,interval,strict_negative,primary_oe28,model
30.4403190439035,33.9268980701161,TRUE,TRUE,interval,zero_compatible,primary_oe28,model
33.9268980701161,40.9635013369587,FALSE,FALSE,interval,strict_positive,primary_oe28,model
40.9635013369587,45,TRUE,TRUE,interval,zero_compatible,primary_oe28,model
15,16.7409118993472,TRUE,TRUE,interval,zero_compatible,all_years_shared_core_live,HC0
16.7409118993472,31.5506701770944,FALSE,FALSE,interval,strict_negative,all_years_shared_core_live,HC0
31.5506701770944,35.0406367553952,TRUE,TRUE,interval,zero_compatible,all_years_shared_core_live,HC0
35.0406367553952,39.9841749083963,FALSE,FALSE,interval,strict_positive,all_years_shared_core_live,HC0
39.9841749083963,45,TRUE,TRUE,interval,zero_compatible,all_years_shared_core_live,HC0
15,16.7648362343037,TRUE,TRUE,interval,zero_compatible,all_years_shared_core_live,model
16.7648362343037,31.5568473631642,FALSE,FALSE,interval,strict_negative,all_years_shared_core_live,model
31.5568473631642,35.0273196663766,TRUE,TRUE,interval,zero_compatible,all_years_shared_core_live,model
35.0273196663766,40.0208301340539,FALSE,FALSE,interval,strict_positive,all_years_shared_core_live,model
40.0208301340539,45,TRUE,TRUE,interval,zero_compatible,all_years_shared_core_live,model
15,16.6135536151433,TRUE,TRUE,interval,zero_compatible,all_years_shared_core_inclusive,HC0
16.6135536151433,31.5171707420343,FALSE,FALSE,interval,strict_negative,all_years_shared_core_inclusive,HC0
31.5171707420343,34.9473057903192,TRUE,TRUE,interval,zero_compatible,all_years_shared_core_inclusive,HC0
34.9473057903192,40.012769492655,FALSE,FALSE,interval,strict_positive,all_years_shared_core_inclusive,HC0
40.012769492655,45,TRUE,TRUE,interval,zero_compatible,all_years_shared_core_inclusive,HC0
15,16.6393545271242,TRUE,TRUE,interval,zero_compatible,all_years_shared_core_inclusive,model
16.6393545271242,31.523202405678,FALSE,FALSE,interval,strict_negative,all_years_shared_core_inclusive,model
