lower,upper,lower_closed,upper_closed,kind,model_id,covariance,method
43.2817678589662,45,TRUE,TRUE,interval,primary_oe28,HC0,pointwise
15,16.561510202966,TRUE,TRUE,interval,primary_oe28,HC0,simultaneous
30.4361730714743,33.9418199266879,TRUE,TRUE,interval,primary_oe28,HC0,simultaneous
40.9036487700825,45,TRUE,TRUE,interval,primary_oe28,HC0,simultaneous
15,15.1269548061039,TRUE,TRUE,interval,primary_oe28,model,pointwise
31.0167054585128,32.9054357599325,TRUE,TRUE,interval,primary_oe28,model,pointwise
43.3439435410883,45,TRUE,TRUE,interval,primary_oe28,model,pointwise
15,16.5863584056597,TRUE,TRUE,interval,primary_oe28,model,simultaneous
30.4403190439035,33.9268980701161,TRUE,TRUE,interval,primary_oe28,model,simultaneous
40.9635013369587,45,TRUE,TRUE,interval,primary_oe28,model,simultaneous
15,15.0024165590107,TRUE,TRUE,interval,all_years_shared_core_live,HC0,pointwise
32.0507443483896,33.9619058463355,TRUE,TRUE,interval,all_years_shared_core_live,HC0,pointwise
41.8144074828555,45,TRUE,TRUE,interval,all_years_shared_core_live,HC0,pointwise
15,16.7409118993472,TRUE,TRUE,interval,all_years_shared_core_live,HC0,simultaneous
31.5506701770944,35.0406367553952,TRUE,TRUE,interval,all_years_shared_core_live,HC0,simultaneous
39.9841749083963,45,TRUE,TRUE,interval,all_years_shared_core_live,HC0,simultaneous
15,15.0366938490508,TRUE,TRUE,interval,all_years_shared_core_live,model,pointwise
32.0547318433128,33.9558558477525,TRUE,TRUE,interval,all_years_shared_core_live,model,pointwise
41.8431377521819,45,TRUE,TRUE,interval,all_years_shared_core_live,model,pointwise
15,16.7648362343037,TRUE,TRUE,interval,all_years_shared_core_live,model,simultaneous
31.5568473631642,35.0273196663766,TRUE,TRUE,interval,all_years_shared_core_live,model,simultaneous
40.0208301340539,45,TRUE,TRUE,interval,all_years_shared_core_live,model,simultaneous
32.0137908845173,33.8931409726517,TRUE,TRUE,interval,all_years_shared_core_inclusive,HC0,pointwise
41.8091709835681,45,TRUE,TRUE,interval,all_years_shared_core_inclusive,HC0,pointwise
15,16.6135536151433,TRUE,TRUE,interval,all_years_shared_core_inclusive,HC0,simultaneous
31.5171707420343,34.9473057903192,TRUE,TRUE,interval,all_years_shared_core_inclusive,HC0,simultaneous
40.012769492655,45,TRUE,TRUE,interval,all_years_shared_core_inclusive,HC0,simultaneous
32.0176505977585,33.8874378112474,TRUE,TRUE,interval,all_years_shared_core_inclusive,model,pointwise
41.8366206194016,45,TRUE,TRUE,interval,all_years_shared_core_inclusive,model,pointwise
15,16.6393545271242,TRUE,TRUE,interval,all_years_shared_core_inclusive,model,simultaneous
31.523202405678,34.9348684236546,TRUE,TRUE,interval,all_years_shared_core_inclusive,model,simultaneous
40.0480978339589,45,TRUE,TRUE,interval,all_years_shared_core_inclusive,model,simultaneous
30.622052245991,32.4110245473635,TRUE,TRUE,interval,all_years_shared_augmented_live,HC0,pointwise
42.7029622979378,45,TRUE,TRUE,interval,all_years_shared_augmented_live,HC0,pointwise
15,16.7808040045793,TRUE,TRUE,interval,all_years_shared_augmented_live,HC0,simultaneous
30.0073640024737,33.3004386959485,TRUE,TRUE,interval,all_years_shared_augmented_live,HC0,simultaneous
40.7830840371999,45,TRUE,TRUE,interval,all_years_shared_augmented_live,HC0,simultaneous
