model_id,label,contrast_group,family,covariance,fit_n,reference_n,fitted_null_ages,n_isolated_roots,has_zero_intervals,unique_regular_interior_root,full_95_fixed_null_age_set,fixed_null_age_set_components,full_95_simultaneous_outer_set,simultaneous_outer_set_components,simultaneous_strict_negative_intervals,simultaneous_strict_positive_intervals,simultaneous_reversal,omnibus_age_interaction_statistic,omnibus_df,omnibus_p,omnibus_log_p,age_knots,comparison,formula
primary_core_available,"Core-available fitting records, fixed main CC reference",within_prepregnancy_smokers,original_16_models,HC0,2032020,1980559,32.800519,1,FALSE,TRUE,"[15.000, 15.282] U [32.045, 33.786] U [42.687, 45.000]",3,"[15.000, 16.530] U [31.584, 34.714] U [40.618, 45.000]",3,"(16.530, 31.584)","(34.714, 40.618)",TRUE,278.427258641682,4,4.86495929695571e-59,-134.27046213755,"21,27,35",Changed population/model; descriptive stability only,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + prepreg_dose5"
primary_core_available,"Core-available fitting records, fixed main CC reference",within_prepregnancy_smokers,original_16_models,model,2032020,1980559,32.800519,1,FALSE,TRUE,"[15.000, 15.315] U [32.049, 33.781] U [42.716, 45.000]",3,"[15.000, 16.559] U [31.590, 34.704] U [40.651, 45.000]",3,"(16.559, 31.590)","(34.704, 40.651)",TRUE,280.127219489166,4,2.09200233770979e-59,-135.114398822995,"21,27,35",Changed population/model; descriptive stability only,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + prepreg_dose5"
primary_recent,"Full adjustment,2018-2024",within_prepregnancy_smokers,original_16_models,HC0,1330062,1330062,31.721043,1,FALSE,TRUE,"[30.855, 32.764] U [41.932, 45.000]",2,"[15.000, 16.780] U [30.239, 33.801] U [40.174, 45.000]",3,"(16.780, 30.239)","(33.801, 40.174)",TRUE,159.918749105092,4,1.52178044745786e-33,-75.5654270724252,"21,27,35",Changed population/model; descriptive stability only,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prior_preterm + prior_cesarean + nativity + prepreg_dose5"
primary_recent,"Full adjustment,2018-2024",within_prepregnancy_smokers,original_16_models,model,1330062,1330062,31.721043,1,FALSE,TRUE,"[30.857, 32.757] U [41.981, 45.000]",2,"[15.000, 16.795] U [30.242, 33.786] U [40.229, 45.000]",3,"(16.795, 30.242)","(33.786, 40.229)",TRUE,161.148245940782,4,8.29192610242856e-34,-76.1726108791754,"21,27,35",Changed population/model; descriptive stability only,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prior_preterm + prior_cesarean + nativity + prepreg_dose5"
primary_historical,"Full adjustment,2014-2015 historical sensitivity",within_prepregnancy_smokers,original_16_models,HC0,725836,725836,35.367370,1,FALSE,TRUE,"[15.000, 15.820] U [32.474, 45.000]",2,"[15.000, 17.098] U [31.294, 45.000]",2,"(17.098, 31.294)",Empty,FALSE,48.7371233369588,4,6.62466589248942e-10,-21.1350509906622,"21,27,35",Changed population/model; descriptive stability only,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prior_preterm + prior_cesarean + nativity + prepreg_dose5"
primary_historical,"Full adjustment,2014-2015 historical sensitivity",within_prepregnancy_smokers,original_16_models,model,725836,725836,35.367370,1,FALSE,TRUE,"[15.000, 15.810] U [32.483, 45.000]",2,"[15.000, 17.090] U [31.306, 45.000]",2,"(17.090, 31.306)",Empty,FALSE,49.2683681071746,4,5.13250401249399e-10,-21.3902572782482,"21,27,35",Changed population/model; descriptive stability only,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prior_preterm + prior_cesarean + nativity + prepreg_dose5"
primary_oe28,"Full adjustment,2016-2024 OE>=28 sensitivity",within_prepregnancy_smokers,original_16_models,HC0,1967958,1967958,31.861334,1,FALSE,TRUE,"[15.000, 15.097] U [31.013, 32.912] U [43.282, 45.000]",3,"[15.000, 16.562] U [30.436, 33.942] U [40.904, 45.000]",3,"(16.562, 30.436)","(33.942, 40.904)",TRUE,220.576818186662,4,1.4086478830776e-46,-105.576283981593,"21,27,35",Changed population/model; descriptive stability only,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prior_preterm + prior_cesarean + nativity + prepreg_dose5"
primary_oe28,"Full adjustment,2016-2024 OE>=28 sensitivity",within_prepregnancy_smokers,original_16_models,model,1967958,1967958,31.861334,1,FALSE,TRUE,"[15.000, 15.127] U [31.017, 32.905] U [43.344, 45.000]",3,"[15.000, 16.586] U [30.440, 33.927] U [40.964, 45.000]",3,"(16.586, 30.440)","(33.927, 40.964)",TRUE,222.359875702833,4,5.82212717746311e-47,-106.459833681344,"21,27,35",Changed population/model; descriptive stability only,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prior_preterm + prior_cesarean + nativity + prepreg_dose5"
all_years_shared_core_live,all_years shared_core live,within_prepregnancy_smokers,original_16_models,HC0,1364033,1364033,32.867572,1,FALSE,TRUE,"[15.000, 15.002] U [32.051, 33.962] U [41.814, 45.000]",3,"[15.000, 16.741] U [31.551, 35.041] U [39.984, 45.000]",3,"(16.741, 31.551)","(35.041, 39.984)",TRUE,187.605398958284,4,1.73310921929561e-39,-89.2509015947683,"21,27,35",Shared live reference within tier/period; root differences descriptive here; overlapping fits not independent,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + prepreg_dose5"
all_years_shared_core_live,all_years shared_core live,within_prepregnancy_smokers,original_16_models,model,1364033,1364033,32.867572,1,FALSE,TRUE,"[15.000, 15.037] U [32.055, 33.956] U [41.843, 45.000]",3,"[15.000, 16.765] U [31.557, 35.027] U [40.021, 45.000]",3,"(16.765, 31.557)","(35.027, 40.021)",TRUE,188.904773312401,4,9.11247740413874e-40,-89.8937591020857,"21,27,35",Shared live reference within tier/period; root differences descriptive here; overlapping fits not independent,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + prepreg_dose5"
