contrast,label,eligible_n,n,events,A0,A1,excluded_n,rr,rr_lower,rr_upper,rd_per1000,rd_lower_per1000,rd_upper_per1000,risk0_per1000,risk0_lower_per1000,risk0_upper_per1000,risk1_per1000,risk1_lower_per1000,risk1_upper_per1000
primary,Within prepregnancy smokers,2044364,1980559,168792,500016,1480543,63805,0.944302572898687,0.934335079561714,0.954376399526142,-4.94068018359177,-5.86731611162456,-4.01404425555898,88.7057165962926,87.9268833561036,89.490771650239,83.7650364127008,83.3132531426915,84.2190444912186
broad,Both early windows vs neither,30830035,29576508,2447683,28095965,1480543,1253527,1.01180218019562,1.00595203933569,1.01768634270543,0.977421012416685,0.49178649087268,1.46305553396069,82.8169877273772,82.7170146207165,82.9170707408828,83.7944087397939,83.3219682670008,84.2692817217427
prepregnancy,"Prepregnancy smoking, irrespective of T1",31362709,30097165,2498098,28113111,1984054,1265544,1.03053781673677,1.02543365272609,1.03566738706231,2.53352081778699,2.10980229141146,2.95723934416252,82.9633905928847,82.8631988369765,83.0636925210584,85.4969114106717,85.0880635702943,85.9075393015205
