contrast,sensitivity,specificity,recorded_crossover,corrected_crossover,min_corrected_rr,max_corrected_rr
primary,0.7,0.98,,,0.198595787362086,0.198595787362086
primary,0.7,0.995,,,0.198868314559499,0.198868314559499
primary,0.7,1,,,0.19895652173913,0.19895652173913
primary,0.8,0.98,37.7417000802599,37.6886749822524,0.425593313423321,2.36825867715916
primary,0.8,0.995,37.7417000802599,37.6886551946183,0.42626748331336,2.36775318837039
primary,0.8,1,37.7417000802599,37.6886487701705,0.426486247921204,2.3675889849225
primary,0.9,0.98,37.7417000802599,37.7355610683002,0.663309982528741,1.26031658104239
primary,0.9,0.995,37.7417000802599,37.7355431163534,0.664489312745321,1.25940525965667
primary,0.9,1,37.7417000802599,37.7355372878646,0.66487190390708,1.25910961354962
primary,1,0.98,37.7417000802599,37.7417235011251,0.745456853015219,1.16133454508872
primary,1,0.995,37.7417000802599,37.7417058206227,0.746782236041366,1.16049479655027
primary,1,1,37.7417000802599,37.7417000802599,0.74721220877048,1.16022236973117
broad,0.7,0.98,29.0903263279795,29.0852473990202,0.175418670597019,3.59166235370917
broad,0.7,0.995,29.0903263279795,29.0895716509213,0.679115621785578,1.61594927716552
broad,0.7,1,29.0903263279795,29.090417753386,0.732105125047079,1.49400387560775
broad,0.8,0.98,29.0903263279795,29.0852108137184,0.175673568431066,3.58365731676648
broad,0.8,0.995,29.0903263279795,29.0895333914394,0.680102432941261,1.61234767646164
broad,0.8,1,29.0903263279795,29.0903791683782,0.733168934332794,1.49067406477394
broad,0.9,0.98,29.0903263279795,29.0851828211084,0.17587042702881,3.57750539584991
broad,0.9,0.995,29.0903263279795,29.0895041177547,0.680864551070169,1.60957982381312
broad,0.9,1,29.0903263279795,29.0903496456014,0.733990518419753,1.48811508433908
broad,1,0.98,29.0903263279795,29.0851607121133,0.176027043216008,3.57262986770512
broad,1,0.995,29.0903263279795,29.0894809968828,0.681470874781257,1.60738624173177
broad,1,1,29.0903263279795,29.0903263279795,0.734644151883755,1.48608703792864
prepregnancy,0.7,0.98,28.3205133626634,28.3123722687335,0.500556345988307,2.2705228424642
prepregnancy,0.7,0.995,28.3205133626634,28.319080971936,0.749092557646848,1.56410489446154
prepregnancy,0.7,1,28.3205133626634,28.3206531086062,0.777449697529152,1.47803881394259
prepregnancy,0.8,0.98,28.3205133626634,28.3123137976741,0.501016697894206,2.26418056875074
prepregnancy,0.8,0.995,28.3205133626634,28.3190218277202,0.75041091054422,1.55973586492715
prepregnancy,0.8,1,28.3205133626634,28.3205938101846,0.778817957099796,1.47391019363461
prepregnancy,0.9,0.98,28.3205133626634,28.3122693717651,0.501371843532527,2.25932292286101
prepregnancy,0.9,0.995,28.3205133626634,28.3189768902072,0.751425142065152,1.55638955738529
prepregnancy,0.9,1,28.3205133626634,28.3205487554727,0.779870582681407,1.47074801925118
prepregnancy,1,0.98,28.3205133626634,28.3122344730198,0.501654149361968,2.2554832326558
prepregnancy,1,0.995,28.3205133626634,28.3189415894842,0.752229603022757,1.55374449338027
prepregnancy,1,1,28.3205133626634,28.3205133626634,0.780705496767497,1.46824850193708
